Surname;GivenName;Department;State;Description;Address;OfficePhone;EmailAddress;Name;SamAccountName
Cantwell;Maria;D;WA;Class I;511 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3441;Web Form: cantwell.senate.gov/contact/index.html ;ACantwell;ACantwell
Cardin;Benjamin L.;D;MD;Class I;509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4524;Web Form: cardin.senate.gov/contact/ ;ECardin;ECardin
Carper;Thomas R.;D;DE;Class I;513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2441;Web Form: carper.senate.gov/aemail.htm ;HCarper;HCarper
Casey;Robert P.;Jr.;D;PA;Class I;383 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6324;OCasey;OCasey
Chambliss;Saxby;R;GA;Class II;416 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3521;Web Form: chambliss.senate.gov/public/index.cfm?FuseAction=ContactU... ;AChambliss;AChambliss
Clinton;Hillary Rodham;D;NY;Class I;476 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4451;Web Form: clinton.senate.gov/contact ;IClinton;IClinton
Coburn;Tom;R;OK;Class III;172 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5754;Web Form: coburn.senate.gov/index.cfm?FuseAction=Contact.Home ;OCoburn;OCoburn
Cochran;Thad;R;MS;Class II;113 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5054;Web Form: cochran.senate.gov/contact.htm ;HCochran;HCochran
Coleman;Norm;R;MN;Class II;320 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5641;Web Form: coleman.senate.gov/index.cfm?FuseAction=Contact.ContactForm ;OColeman;OColeman
Collins;Susan M.;R;ME;Class II;413 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2523;Web Form: collins.senate.gov/public/continue.cfm?FuseAction=Contact... ;UCollins;UCollins
Conrad;Kent;D;ND;Class I;530 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2043;Web Form: conrad.senate.gov/webform.html ;EConrad;EConrad
Corker;Bob;R;TN;Class I;185 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3344;Web Form: corker.senate.gov/Contact/index.cfm ;OCorker;OCorker
Cornyn;John;R;TX;Class II;517 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2934;Web Form: cornyn.senate.gov/contact/index.html ;OCornyn;OCornyn
Craig;Larry E.;R;ID;Class II;520 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2752;Web Form: craig.senate.gov/email/ ;ACraig;ACraig
Crapo;Mike;R;ID;Class III;239 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6142;Web Form: crapo.senate.gov/contact/email.cfm ;ICrapo;ICrapo
DeMint;Jim;R;SC;Class III;340 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6121;Web Form: demint.senate.gov/index.cfm?FuseAction=Contact.Home ;IDeMint;IDeMint
Dodd;Christopher J.;D;CT;Class III;448 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2823;Web Form: dodd.senate.gov/index.php?q=node/3130 ;HDodd;HDodd
Dole;Elizabeth;R;NC;Class II;555 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6342;Web Form: dole.senate.gov/index.cfm?FuseAction=ContactInformation.C... ;LDole;LDole
Domenici;Pete V.;R;NM;Class II;328 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6621;Web Form: domenici.senate.gov/contact/contactform.cfm ;EDomenici;EDomenici
Dorgan;Byron L.;D;ND;Class III;322 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2551;E-mail: senator@dorgan.senate.gov ;YDorgan;YDorgan
Durbin;Richard;D;IL;Class II;309 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2152;Web Form: durbin.senate.gov/contact.cfm ;IDurbin;IDurbin
Ensign;John;R;NV;Class I;119 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6244;Web Form: ensign.senate.gov/forms/email_form.cfm ;OEnsign;OEnsign
Enzi;Michael B.;R;WY;Class II;379A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3424;Web Form: enzi.senate.gov/public/index.cfm?FuseAction=ContactInform... ;IEnzi;IEnzi
Feingold;Russell D.;D;WI;Class III;506 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5323;Web Form: feingold.senate.gov/contact_opinion.html ;UFeingold;UFeingold
Feinstein;Dianne;D;CA;Class I;331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3841;Web Form: feinstein.senate.gov/email.html ;IFeinstein;IFeinstein
Graham;Lindsey;R;SC;Class II;290 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5972;Web Form: lgraham.senate.gov/index.cfm?mode=contact ;IGraham;IGraham
Grassley;Chuck;R;IA;Class III;135 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3744;Web Form: grassley.senate.gov/index.cfm?FuseAction=Contact.Home ;HGrassley;HGrassley
Gregg;Judd;R;NH;Class III;393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3324;Web Form: gregg.senate.gov/sitepages/contact.cfm ;UGregg;UGregg
Hagel;Chuck;R;NE;Class II;248 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4224;Web Form: hagel.senate.gov/index.cfm?FuseAction=Contact.Home ;HHagel;HHagel
Harkin;Tom;D;IA;Class II;731 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3254;Web Form: harkin.senate.gov/contact/contact.cfm ;OHarkin;OHarkin
Hatch;Orrin G.;R;UT;Class I;104 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5251;Web Form: hatch.senate.gov/index.cfm?Fuseaction=Offices.Contact ;RHatch;RHatch
Hutchison;Kay Bailey;R;TX;Class I;284 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5922;Web Form: hutchison.senate.gov/e-mail.htm ;AHutchison;AHutchison
Inhofe;James M.;R;OK;Class II;453 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4721;Web Form: inhofe.senate.gov/contactus.htm ;AInhofe;AInhofe
Inouye;Daniel K.;D;HI;Class III;722 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3934;Web Form: inouye.senate.gov/abtform.html ;AInouye;AInouye
Isakson;Johnny;R;GA;Class III;120 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3643;Web Form: isakson.senate.gov/contact.cfm ;OIsakson;OIsakson
Johnson;Tim;D;SD;Class II;136 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5842;Web Form: johnson.senate.gov/emailform.cfm ;IJohnson;IJohnson
Kennedy;Edward M.;D;MA;Class I;317 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4543;Web Form: kennedy.senate.gov/senator/contact.cfm ;DKennedy;DKennedy
Kerry;John F.;D;MA;Class II;304 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2742;Web Form: kerry.senate.gov/v3/contact/email.html ;OKerry;OKerry
Klobuchar;Amy;D;MN;Class I;302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3244;Web Form: klobuchar.senate.gov/contact.cfm ;MKlobuchar;MKlobuchar
Kohl;Herb;D;WI;Class I;330 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5653;Web Form: kohl.senate.gov/gen_contact.html ;EKohl;EKohl
Kyl;Jon;R;AZ;Class I;730 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4521;Web Form: kyl.senate.gov/contact.cfm ;OKyl;OKyl
Landrieu;Mary L.;D;LA;Class II;724 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5824;Web Form: landrieu.senate.gov/contact/index.cfm ;ALandrieu;ALandrieu
Lautenberg;Frank R.;D;NJ;Class II;324 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3224;Web Form: lautenberg.senate.gov/contact/ ;RLautenberg;RLautenberg
eahy;Patrick J.;D;VT;Class III;433 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4242;E-mail: senator_leahy@leahy.senate.gov ;Aeahy;Aeahy
Levin;Carl;D;MI;Class II;269 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6221;Web Form: levin.senate.gov/contact/index.cfm ;ALevin;ALevin
Lieberman;Joseph I.;ID;CT;Class I;706 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4041;Web Form: lieberman.senate.gov/contact/index.cfm?regarding=issue ;OLieberman;OLieberman
Lincoln;Blanche L.;D;AR;Class III;355 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4843;Web Form: lincoln.senate.gov/webform.html ;LLincoln;LLincoln
Lott;Trent;R;MS;Class I;487 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6253;Web Form: lott.senate.gov/index.cfm?FuseAction=Contact.Email ;RLott;RLott
Lugar;Richard G.;R;IN;Class I;306 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4814;E-mail: senator_lugar@lugar.senate.gov ;ILugar;ILugar
Martinez;Mel;R;FL;Class III;356 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3041;Web Form: martinez.senate.gov/public/index.cfm?FuseAction=ContactIn... ;EMartinez;EMartinez
McCain;John;R;AZ;Class III;241 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2235;Web Form: mccain.senate.gov/index.cfm?fuseaction=Contact.Home ;OMcCain;OMcCain
McCaskill;Claire;D;MO;Class I;717 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6154;Web Form: mccaskill.senate.gov/contact.cfm ;LMcCaskill;LMcCaskill
McConnell;Mitch;R;KY;Class II;361-A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2541;Web Form: mcconnell.senate.gov/contact_form.cfm ;IMcConnell;IMcConnell
Menendez;Robert;D;NJ;Class I;317 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4744;Web Form: menendez.senate.gov/contact/contact.cfm ;OMenendez;OMenendez
Mikulski;Barbara A.;D;MD;Class III;503 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4654;Web Form: mikulski.senate.gov/mailform.html ;AMikulski;AMikulski
Murkowski;Lisa;R;AK;Class III;709 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6665;Web Form: murkowski.senate.gov/contact.cfm ;IMurkowski;IMurkowski
Murray;Patty;D;WA;Class III;173 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2621;Web Form: murray.senate.gov/email/index.cfm ;AMurray;AMurray
Nelson;Bill;D;FL;Class I;716 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5274;Web Form: billnelson.senate.gov/contact/email.cfm ;INelson;INelson
Nelson;E. Benjamin;D;NE;Class I;720 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6551;Web Form: bennelson.senate.gov/contact/email.cfm ;.Nelson;.Nelson
Obama;Barack;D;IL;Class III;713 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2854;Web Form: obama.senate.gov/contact/ ;AObama;AObama
Pryor;Mark L.;D;AR;Class II;257 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2353;Web Form: pryor.senate.gov/contact/ ;APryor;APryor
Reed;Jack;D;RI;Class II;728 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4642;Web Form: reed.senate.gov/contact/contact-share.cfm ;AReed;AReed
Reid;Harry;D;NV;Class III;528 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3542;Web Form: reid.senate.gov/contact/email_form.cfm ;AReid;AReid
Roberts;Pat;R;KS;Class II;109 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4774;Web Form: roberts.senate.gov/public/index.cfm?FuseAction=ContactInf... ;ARoberts;ARoberts
Rockefeller;John D.;IV;D;WV;Class II;531 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6472;ORockefeller;ORockefeller
Salazar;Ken;D;CO;Class III;702 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5852;Web Form: salazar.senate.gov/contact/email.cfm ;ESalazar;ESalazar
Sanders;Bernard;I;VT;Class I;332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5141;Web Form: sanders.senate.gov/comments/ ;ESanders;ESanders
Schumer;Charles E.;D;NY;Class III;313 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6542;Web Form: schumer.senate.gov/SchumerWebsite/contact/webform.cfm ;HSchumer;HSchumer
Sessions;Jeff;R;AL;Class II;335 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4124;Web Form: sessions.senate.gov/email/contact.cfm ;ESessions;ESessions
Shelby;Richard C.;R;AL;Class III;110 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5744;E-mail: senator@shelby.senate.gov ;IShelby;IShelby
Smith;Gordon H.;R;OR;Class II;404 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3753;Web Form: gsmith.senate.gov/webform.htm ;OSmith;OSmith
Snowe;Olympia J.;R;ME;Class I;154 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5344;Web Form: snowe.senate.gov/contact.htm ;LSnowe;LSnowe
Specter;Arlen;R;PA;Class III;711 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4254;Web Form: specter.senate.gov/index.cfm?FuseAction=ContactInfo.Home ;RSpecter;RSpecter
Stabenow;Debbie;D;MI;Class I;133 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4822;Web Form: stabenow.senate.gov/email.htm ;EStabenow;EStabenow
Stevens;Ted;R;AK;Class II;522 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3004;Web Form: stevens.senate.gov/public/index.cfm?FuseAction=Contact.Em... ;EStevens;EStevens
Sununu;John E.;R;NH;Class II;111 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2841;Web Form: www.sununu.senate.gov/webform.html ;OSununu;OSununu
Tester;Jon;D;MT;Class I;204 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2644;Web Form: tester.senate.gov/Contact/ ;OTester;OTester
Thomas;Craig;R;WY;Class I;307 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6441;Web Form: thomas.senate.gov/index.cfm?FuseAction=Contact.Home ;RThomas;RThomas
Thune;John;R;SD;Class III;493 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2321;Web Form: thune.senate.gov/index.cfm?FuseAction=Contact.Home ;OThune;OThune
Vitter;David;R;LA;Class III;516 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4623;Web Form: vitter.senate.gov/?module=webformIQV1 ;AVitter;AVitter
Voinovich;George V.;R;OH;Class III;524 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3353;Web Form: voinovich.senate.gov/public/index.cfm?FuseAction=Contact.... ;EVoinovich;EVoinovich
Warner;John;R;VA;Class II;225 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2023;Web Form: warner.senate.gov/contact/contactme.cfm ;OWarner;OWarner
Webb;Jim;D;VA;Class I;144 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4024;Web Form: webb.senate.gov/contact/ ;IWebb;IWebb
Whitehouse;Sheldon;D;RI;Class I;502 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2921;Web Form: whitehouse.senate.gov/contact.cfm ;HWhitehouse;HWhitehouse
Wyden;Ron;D;OR;Class III;230 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5244;Web Form: wyden.senate.gov/contact.html   ;OWyden;OWyden
