Name;Description;Location
SanFrancisco;Site of San Francisco;San Francisco
SanSebastian;Site of San Sebastian;San Sebastian
SantiagoDeChile;Site of Santiago de Chile;Santiago de Chile
SaoPaulo;Site of Sao Paulo;Sao Paulo
Sarajevo;Site of Sarajevo;Sarajevo
Seoul;Site of Seoul;Seoul
Shanghai;Site of Shanghai;Shanghai
Singapur;Site of Singapur;Singapur
Skopje;Site of Skopje;Skopje
Sofia;Site of Sofia;Sofia
StPetersburg;Site of St.Petersburg;St.Petersburg
Stockholm;Site of Stockholm;Stockholm
Strassburg;Site of Strassburg;Strassburg
Sydney;Site of Sydney;Sydney
Taipei;Site of Taipei;Taipei
Tallin;Site of Tallin;Tallin
Taschkent;Site of Taschkent;Taschkent
Teheran;Site of Teheran;Teheran
TelAviv;Site of Tel_Aviv;Tel_Aviv
Thessaloniki;Site of Thessaloniki;Thessaloniki
Tiflis;Site of Tiflis;Tiflis
Tokyo;Site of Tokyo;Tokyo
Toronto;Site of Toronto;Toronto
Toulouse;Site of Toulouse;Toulouse
Triest;Site of Triest;Triest
Tunis;Site of Tunis;Tunis
Turin;Site of Turin ;Turin 
UlanBator;Site of Ulan Bator;Ulan Bator
Vilnius;Site of Vilnius;Vilnius
Warschau;Site of Warschau;Warschau
Washington;Site of Washington;Washington
Wellington;Site of Wellington;Wellington
Yaounde;Site of Yaounde;Yaounde
Zagreb;Site of Zagreb;Zagreb
